Iteration    0 	Loss PDE = 1.102111236758 	Lyap = -4.01e-02
Iteration   50 	Loss PDE = 0.791439212059 	Lyap = -8.07e-02
Iteration  100 	Loss PDE = 0.733314481883 	Lyap = -1.03e-01
Iteration  150 	Loss PDE = 0.029753847836 	Lyap = -1.29e-02
Iteration  200 	Loss PDE = 0.000084552396 	Lyap = -5.01e-03
Iteration  250 	Loss PDE = 0.000018409883 	Lyap = -4.99e-03
Iteration  300 	Loss PDE = 0.000012976917 	Lyap = -4.99e-03
Iteration  350 	Loss PDE = 0.000010504045 	Lyap = -4.99e-03
Iteration  400 	Loss PDE = 0.000009175492 	Lyap = -4.99e-03
Iteration  450 	Loss PDE = 0.000008306484 	Lyap = -4.99e-03
Iteration  500 	Loss PDE = 0.000007645802 	Lyap = -4.99e-03
Iteration  550 	Loss PDE = 0.000007102220 	Lyap = -4.99e-03
Iteration  600 	Loss PDE = 0.000006640584 	Lyap = -4.99e-03
Iteration  650 	Loss PDE = 0.000006244623 	Lyap = -4.99e-03
Iteration  700 	Loss PDE = 0.000005904405 	Lyap = -4.99e-03
Iteration  750 	Loss PDE = 0.000005612315 	Lyap = -4.99e-03
Iteration  800 	Loss PDE = 0.000005361821 	Lyap = -4.99e-03
Iteration  850 	Loss PDE = 0.000005147114 	Lyap = -4.99e-03
Iteration  900 	Loss PDE = 0.000004963010 	Lyap = -4.99e-03
Iteration  950 	Loss PDE = 0.000004804912 	Lyap = -4.99e-03
Iteration 1000 	Loss PDE = 0.000004171517 	Lyap = -4.99e-03
Iteration 1050 	Loss PDE = 0.000001762113 	Lyap = -4.99e-03
Iteration 1100 	Loss PDE = 0.000001566878 	Lyap = -5.00e-03
Iteration 1150 	Loss PDE = 0.000001465181 	Lyap = -5.00e-03
Iteration 1200 	Loss PDE = 0.000001378899 	Lyap = -5.00e-03
Iteration 1250 	Loss PDE = 0.000001302268 	Lyap = -5.00e-03
Iteration 1300 	Loss PDE = 0.000001233297 	Lyap = -5.00e-03
Iteration 1350 	Loss PDE = 0.000001170829 	Lyap = -5.00e-03
Iteration 1400 	Loss PDE = 0.000001113988 	Lyap = -5.00e-03
Iteration 1450 	Loss PDE = 0.000001062039 	Lyap = -5.00e-03
Iteration 1500 	Loss PDE = 0.000001014352 	Lyap = -5.00e-03
Iteration 1550 	Loss PDE = 0.000000970375 	Lyap = -5.00e-03
Iteration    0 	Loss PDE = 0.393547236372 	Lyap = -8.18e-01
Iteration   50 	Loss PDE = 0.129592564904 	Lyap = -1.48e-02
Iteration  100 	Loss PDE = 0.057340847894 	Lyap = -3.58e-02
Iteration  150 	Loss PDE = 0.056104540922 	Lyap = -3.61e-02
Iteration  200 	Loss PDE = 0.055739665530 	Lyap = -3.58e-02
Iteration  250 	Loss PDE = 0.055556203728 	Lyap = -3.54e-02
Iteration  300 	Loss PDE = 0.055553474050 	Lyap = -3.51e-02
Iteration  350 	Loss PDE = 0.055596443654 	Lyap = -3.47e-02
Iteration  400 	Loss PDE = 0.055588893894 	Lyap = -3.44e-02
Iteration  450 	Loss PDE = 0.055480171962 	Lyap = -3.41e-02
Iteration  500 	Loss PDE = 0.055130383306 	Lyap = -3.38e-02
Iteration  550 	Loss PDE = 0.095208641783 	Lyap = -3.81e-02
Iteration  600 	Loss PDE = 0.058674886925 	Lyap = -3.39e-02
Iteration  650 	Loss PDE = 0.056821134992 	Lyap = -3.51e-02
Iteration  700 	Loss PDE = 0.056223523980 	Lyap = -3.53e-02
Iteration  750 	Loss PDE = 0.055849945229 	Lyap = -3.54e-02
Iteration  800 	Loss PDE = 0.055594727364 	Lyap = -3.55e-02
Iteration  850 	Loss PDE = 0.055417867668 	Lyap = -3.56e-02
Iteration  900 	Loss PDE = 0.055284864001 	Lyap = -3.56e-02
Iteration  950 	Loss PDE = 0.055172191643 	Lyap = -3.57e-02
Iteration 1000 	Loss PDE = 0.051214982711 	Lyap = -4.00e-02
Iteration 1050 	Loss PDE = 0.003075657292 	Lyap = -2.32e-01
Iteration 1100 	Loss PDE = 0.001711645149 	Lyap = -2.36e-01
Iteration 1150 	Loss PDE = 0.001080331052 	Lyap = -2.43e-01
Iteration 1200 	Loss PDE = 0.000673178706 	Lyap = -2.47e-01
Iteration 1250 	Loss PDE = 0.000415688790 	Lyap = -2.51e-01
Iteration 1300 	Loss PDE = 0.000257051971 	Lyap = -2.53e-01
